id,name,price,original_price,discount_rate,quantity_sold,rating_average,category,platform,seller,url,da_kiem_tra_gia_ao
KAG_76600710,"Quần kaki nam thời trang, quần nam chất kaki co giãn dễ chịu thoải mái",346750.0,346750.0,0.0,1,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-kaki-nam-thoi-trang-co-gian-de-chiu-thoai-mai-p76600710.html?spid=113226533,False
KAG_73456416,Áo Khoác Nam Big Size Áo Khoác Kaki Nam Hai Lớp Big Size Chống Lạnh Chống Nắng Chống Gió Hàn Quốc Cao Cấp WK35 - ShopN6 (Nhiều Màu),179000.0,260000.0,0.31,319,4.1,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-nam-big-size-ao-khoac-kaki-nam-hai-lop-big-size-chong-lanh-chong-nang-chong-gio-han-quoc-cao-cap-wk35-shopn6-nhieu-mau-p73456416.html?spid=73456438,False
KAG_73335809,Áo Khoác Nam Big Size Áo Khoác Dù Nam Cổ Cao Chống Lạnh Chống Gió Chống Nắng Tia UV Cao Cấp Nam Tính Hàn Quốc QM19 - ShopN6 (Nhiều Màu),199000.0,255000.0,0.22,277,4.1,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-nam-big-size-ao-khoac-du-nam-co-cao-chong-lanh-chong-gio-chong-nang-tia-uv-cao-cap-nam-tinh-han-quoc-qm19-shopn6-nhieu-mau-p73335809.html?spid=73335821,False
KAG_72462368,Áo Khoác Nam Áo Khoác Dù Dày Nam Hai Lớp Lót Nỉ Chống Lạnh Chống Gió Chống Nắng Tia UV Cao Cấp AD64 - ShopN6 (Nhiều Màu),189000.0,225000.0,0.16,28,4.3,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-nam-ao-khoac-du-day-nam-hai-lop-lot-ni-chong-lanh-chong-gio-chong-nang-tia-uv-cao-cap-ad64-shopn6-nhieu-mau-p72462368.html?spid=72462376,False
KAG_67516317,Áo Khoác Kaki Nam Áo Khoác Nam Hai Lớp FS Chống Nắng Chống Lạnh Cao Cấp KK46 - ShopN6 (Nhiều Màu),199000.0,240000.0,0.17,444,4.3,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-kaki-nam-ao-khoac-nam-hai-lop-fs-chong-nang-chong-lanh-cao-cap-kk46-shopn6-nhieu-mau-p67516317.html?spid=67516329,False
KAG_56958321,Quần kaki nam Aligro ALGK052,759000.0,759000.0,0.0,9,4.5,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-kaki-nam-aligro-algk052-p56958321.html?spid=56958333,True
KAG_56041700,"Quần bơi nam cao cấp, đồ bơi nam boxer đẹp",200000.0,200000.0,0.0,133,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-boi-nam-cao-cap-do-boi-nam-boxer-dep-p56041700.html?spid=56041707,False
KAG_55740133,"Quần lót nam tam giác thun cotton co giãn tốt, sịp nam cao cấp lưng thun cạp to, thiết kế trẻ trung đơn giản và sang trọng QLCC019",130000.0,130000.0,0.0,102,4.8,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-lot-nam-tam-giac-cao-cap-thun-cotton-qlcc019-p55740133.html?spid=55740145,False
KAG_52198505,Combo 4 Quần Lót Nam Quần Sịp Nam Sợi Cotton Cao Cấp MRM FASHION Mix 2 Màu TẶNG Đôi Tất Nam Cao Cấp,265000.0,340000.0,0.22,107,4.7,Thời trang nam,Kaggle,Tiki,https://tiki.vn/combo-4-quan-lot-nam-quan-sip-nam-soi-cotton-cao-cap-mrm-fashion-mix-2-mau-tang-doi-tat-nam-cao-cap-p52198505.html?spid=52198528,False
KAG_52188529,Combo 4 Quần Lót Nam Quần Sịp Đùi Sợi Cotton Cao Cấp MRM FASHION Mix 2 Màu TẶNG Đôi Tất Nam Cao Cấp,265000.0,380000.0,0.3,46,4.6,Thời trang nam,Kaggle,Tiki,https://tiki.vn/combo-4-quan-sip-dui-nam-quan-lot-nam-boxer-soi-cotton-cao-cap-mrm-fashion-mix-2-mau-tang-doi-tat-nam-cao-cap-p52188529.html?spid=52188556,False
