ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
278463126,Komi - Nữ Thần Sợ Giao Tiếp ( Chọn Tập Lẻ),1084,Tiki,27000,30000,0.1,0,4.8,https://tiki.vn/komi-nu-than-so-giao-tiep-chon-tap-le-p278463126.html?spid=144779881,False
278275166,Hoa Thơm Kiêu Hãnh (Chọn tập lẻ),1084,Tiki,50000,55000,0.09,0,5.0,https://tiki.vn/hoa-thom-kieu-hanh-p278275166.html?spid=278758607,False
277962612,Sách Thiên Quan Tứ Phúc,67998,Tiki,107600,169000,0.36,0,4.8,https://tiki.vn/sach-thien-quan-tu-phuc-p277962612.html?spid=277962709,False
277591013,Bộ Truyện - Itto - Cơn lốc sân cỏ,1084,Tiki,166250,175000,0.05,0,5.0,https://tiki.vn/bo-truyen-itto-con-loc-san-co-p277591013.html?spid=277591041,False
277228103,Sách Husky Và Sư Tôn Mèo Trắng Của Hắn,67998,Tiki,111600,169000,0.34,0,5.0,https://tiki.vn/sach-husky-va-su-ton-meo-trang-cua-han-p277228103.html?spid=278093887,False
276933744,Combo Giáo Trình Chuẩn HSK 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),67867,Tiki,296000,356000,0.17,0,4.6,https://tiki.vn/combo-giao-trinh-chuan-hsk-1-sach-bai-hoc-va-bai-tap-bo-2-cuon-p276933744.html?spid=276949257,False
276659602,Series các tập Claymore,1084,Tiki,35000,40000,0.13,0,5.0,https://tiki.vn/claymore-01-sat-thu-mat-bac-p276659602.html?spid=277815806,False
276657645,Sách Hệ Thống Tự Cứu Của Nhân Vật Phản Diện (Tái bản),67998,Tiki,109800,179000,0.39,0,4.6,https://tiki.vn/sach-he-thong-tu-cuu-cua-nhan-vat-phan-dien-tai-ban-p276657645.html?spid=276657705,False
274363543,Sách Con Đường Chẳng Mấy Ai Đi,871,Tiki,115000,165000,0.3,0,5.0,https://tiki.vn/sach-con-duong-chang-may-ai-di-p274363543.html?spid=274363544,False
273819808,Sách Tâm Lý Học Về Tiền,67915,Tiki,150600,239000,0.37,0,4.8,https://tiki.vn/sach-tam-ly-hoc-ve-tien-p273819808.html?spid=75953558,False
272188850,Soul Eater,1084,Tiki,86000,95000,0.09,0,5.0,https://tiki.vn/soul-eater-p272188850.html?spid=274972079,False
262664014,Combo Doraemon Truyện Ngắn,1084,Tiki,222300,250000,0.11,0,5.0,https://tiki.vn/combo-doraemon-truyen-ngan-p262664014.html?spid=262664018,False
249876840,"Sách Beartown - Thị trấn nhỏ, giấc mơ lớn",6750,Tiki,172000,210000,0.18,0,5.0,https://tiki.vn/sach-beartown-thi-tran-nho-giac-mo-lon-p249876840.html?spid=249876841,False
202879294,Sách Người Đàn Ông Mang Tên Ove (Tái Bản 2022),67999,Tiki,128000,160000,0.2,0,5.0,https://tiki.vn/sach-nguoi-dan-ong-mang-ten-ove-tai-ban-2022-p202879294.html?spid=202879295,False
190335975,Combo 2 cuốn Truyện Dành Cho Thiếu Nhi : Tuổi Thơ Dữ Dội - Tập 1 + 2 (Tái Bản),1754,Tiki,120000,160000,0.25,0,5.0,https://tiki.vn/combo-2-cuon-truyen-danh-cho-thieu-nhi-tuoi-tho-du-doi-tap-1-2-tai-ban-p190335975.html?spid=273817532,False
165030729,Sách Những Kẻ Âu Lo,6750,Tiki,149000,180000,0.17,0,5.0,https://tiki.vn/sach-nhung-ke-au-lo-p165030729.html?spid=165030730,False
115078652,Sách Huấn Luyện Cảm Xúc Để Con Trẻ Phát Triển Toàn Diện,871,Tiki,142560,198000,0.28,0,5.0,https://tiki.vn/sach-huan-luyen-cam-xuc-de-con-tre-phat-trien-toan-dien-p115078652.html?spid=115078654,False
91947689,Sách 7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) - Stephen R. Covey - PACE Books,871,Tiki,169200,250000,0.32,0,5.0,https://tiki.vn/sach-7-thoi-quen-hieu-qua-the-7-habits-of-highly-effective-people-stephen-r-covey-pace-books-p91947689.html?spid=91947690,False
13920941,Combo Doraemon - Truyện Dài (Trọn Bộ 24 Cuốn) - Tái Bản,1084,Tiki,529200,597000,0.11,0,5.0,https://tiki.vn/combo-doraemon-truyen-dai-tron-bo-24-cuon-tai-ban-p13920941.html?spid=13920942,True
2987219,Sách Giáo Trình Chuẩn YCT 1 (Kèm file MP3),67869,Tiki,115000,138000,0.17,0,4.8,https://tiki.vn/sach-giao-trinh-chuan-yct-1-kem-file-mp3-p2987219.html?spid=2987563,False
1080002,Sách Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),840,Tiki,1473000,1750000,0.16,0,4.7,https://tiki.vn/sach-boxset-harry-potter-tieng-viet-tron-bo-7-tap-p1080002.html?spid=1080024,True
540039,Sách Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm file MP3),67867,Tiki,165000,198000,0.17,0,4.8,https://tiki.vn/sach-giao-trinh-chuan-hsk-1-bai-hoc-kem-file-mp3-p540039.html?spid=262528,False
279428996,Sách Chú Thuật Hồi Chiến - Tập 28,1084,Tiki,28500,30000,0.05,0,5.0,https://tiki.vn/sach-chu-thuat-hoi-chien-tap-28-p279428996.html?spid=279429139,False
279394165,Thám tử thừa kế,1084,Tiki,50000,55000,0.09,0,0.0,https://tiki.vn/tham-tu-thua-ke-p279394165.html?spid=279493247,False
279374424,Sách Chú Thuật Hồi Chiến - Tập 27,1084,Tiki,28500,30000,0.05,0,5.0,https://tiki.vn/chu-thuat-hoi-chien-tap-27-p279374424.html?spid=279375119,False
279313607,Bộ Sách Tô Màu 6 Cuốn Họa Sĩ Nhí Vẽ Thế Giới,853,Tiki,15000,20000,0.25,0,0.0,https://tiki.vn/bo-sach-to-mau-6-cuon-hoa-si-nhi-ve-the-gioi-p279313607.html?spid=279313712,False
279292568,Song Mệnh Cõi Hoàng Tuyền,1084,Tiki,31500,35000,0.1,0,4.8,https://tiki.vn/song-menh-coi-hoang-tuyen-p279292568.html?spid=279580424,False
279236031,"Điệu múa chim công, có ai thấy không",1084,Tiki,52000,56000,0.07,0,5.0,https://tiki.vn/dieu-mua-chim-cong-co-ai-thay-khong-p279236031.html?spid=279236035,False
279235202,Sách Khúc Hát Đêm Thâu [Chọn Tập,1084,Tiki,31500,35000,0.1,0,4.2,https://tiki.vn/sach-khuc-hat-dem-thau-chon-tap-p279235202.html?spid=279558959,False
278756674,Sách Nisekoi - Cặp Đôi Giả Tạo,1084,Tiki,36000,40000,0.1,0,5.0,https://tiki.vn/sach-nisekoi-cap-doi-gia-tao-p278756674.html?spid=279558986,False
278749523,Ngũ Hành Của Tôi Thiếu Em,67998,Tiki,109800,179000,0.39,0,5.0,https://tiki.vn/ngu-hanh-cua-toi-thieu-em-p278749523.html?spid=279004969,False
278729052,Doraemon Movie Story Màu - Phiên Bản Mới: Nobita Và Binh Đoàn Người Sắt - Đôi Cánh Thiên Thần,1084,Tiki,34300,35000,0.02,0,5.0,https://tiki.vn/doraemon-movie-story-mau-phien-ban-moi-nobita-va-binh-doan-nguoi-sat-doi-canh-thien-than-p278729052.html?spid=278729053,False
278684154,Nữ Binh Thần Tốc,1084,Tiki,41800,45000,0.07,0,5.0,https://tiki.vn/nu-binh-than-toc-p278684154.html?spid=278863077,False
278423155,"Sách Hồi Ức, Giấc Mơ, Suy Ngẫm - Hành Trình Vào Nội Tâm Của Carl Jung – Nơi Ký Ức, Giấc Mơ Và Triết Lý Giao Thoa",843,Tiki,246200,345000,0.29,0,5.0,https://tiki.vn/sach-hoi-uc-giac-mo-suy-ngam-hanh-trinh-vao-noi-tam-cua-carl-jung-noi-ky-uc-giac-mo-va-triet-ly-giao-thoa-p278423155.html?spid=278423156,False
278123405,Sobotei Dinh Thự Ma Ám (Chọn tập lẻ),1084,Tiki,42000,45000,0.07,0,5.0,https://tiki.vn/sobotei-dinh-thu-ma-am-p278123405.html?spid=279577166,False
277397107,Sách Phía Đông Vườn Địa Đàng,9725,Tiki,279000,380000,0.27,0,4.5,https://tiki.vn/sach-phia-dong-vuon-dia-dang-p277397107.html?spid=277397109,False
276948798,"Sách Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",847,Tiki,108000,150000,0.28,0,4.8,https://tiki.vn/sach-len-dinh-nui-mo-tiem-banh-mi-triet-li-wazawaza-nhung-con-nguoi-hanh-phuc-2-loai-banh-mi-va-doanh-thu-thuong-nien-300-trieu-yen-p276948798.html?spid=276948799,False
276933752,Combo Giáo Trình Chuẩn HSK 3 - Sách Bài Học và Bài tập (Bộ 2 cuốn),67867,Tiki,395000,476000,0.17,0,5.0,https://tiki.vn/combo-giao-trinh-chuan-hsk-3-sach-bai-hoc-va-bai-tap-bo-2-cuon-p276933752.html?spid=276949259,True
