ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
279076808,Điện Thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,8299000,10090000,0.18,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-12gb-256gb-hang-chinh-hang-p279076808.html?spid=279076812,True
279076001,Điện Thoại Oppo A6t 6GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,7389000,7490000,0.01,0,0.0,https://tiki.vn/dien-thoai-oppo-a6t-6gb-256gb-hang-chinh-hang-p279076001.html?spid=279076005,True
279075921,Điện Thoại Oppo A6t 4GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,5349000,5490000,0.03,0,0.0,https://tiki.vn/dien-thoai-oppo-a6t-4gb-128gb-hang-chinh-hang-p279075921.html?spid=279075925,True
279075851,Điện Thoại Oppo Reno15 5G 12GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,14729000,16990000,0.13,0,0.0,https://tiki.vn/dien-thoai-oppo-reno15-5g-12gb-256gb-hang-chinh-hang-p279075851.html?spid=279075855,True
278834233,Điện Thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,5979000,6190000,0.03,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-14-8gb-256gb-hang-chinh-hang-p278834233.html?spid=278834239,True
278834052,Điện Thoại Xiaomi Redmi Note 14 8GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,4999000,5490000,0.09,1,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-14-8gb-128gb-hang-chinh-hang-p278834052.html?spid=278834054,True
278672823,Điện thoại Samsung Galaxy A17 LTE (8GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,6190000,6190000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-lte-8gb-128gb-hang-chinh-hang-p278672823.html?spid=278672827,True
278592429,Điện thoại Samsung Galaxy A07 LTE (6GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,4490000,4490000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-lte-6gb-128gb-hang-chinh-hang-p278592429.html?spid=278592431,True
278591094,Điện thoại Samsung Galaxy A07 LTE (4GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,4190000,4190000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-lte-4gb-128gb-hang-chinh-hang-p278591094.html?spid=278591100,True
277811118,Điện Thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,6199000,7290000,0.15,1,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-14-5g-8gb-256gb-hang-chinh-hang-p277811118.html?spid=277811124,True
