ma_san_pham,ten_san_pham,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,nganh_hang,nen_tang,shop,url,da_kiem_tra_gia_ao
198868735,Điện thoại IP Grandstream GRP 2601 hàng chính hãng,880000.0,880000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-ip-grandstream-grp-2601-hang-chinh-hang-p198868735.html?spid=262386115,True
181928208,Điện thoại bàn Panasonic KX-TGC310 hàng chính hãng,972000.0,972000.0,0.0,57,5.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgc310-hang-chinh-hang-p181928208.html?spid=181928209,True
181927736,Điện thoại bàn Panasonix KX-TGD312 hàng chính hãng,1850000.0,1850000.0,0.0,28,5.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-ban-panasonix-kx-tgd312-hang-chinh-hang-p181927736.html?spid=181927737,True
172537996,"(Hàng chính hãng) Điện thoại bàn hữu tuyến H2P, hiệu Alcatel - Lucent",2220000.0,2220000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-ban-huu-tuyen-h2p-hieu-alcatel-lucent-p172537996.html?spid=172537997,True
117347869,ĐIỆN THOẠI HỘI NGHỊ YEALINK CP960 -HÀNG CHÍNH HÃNG,15230000.0,15230000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-hoi-nghi-yealink-cp960-p117347869.html?spid=125595231,True
102620086,Điện thoại VoIP Yealink SIP-T30 - Hàng Chính Hãng,1200000.0,1200000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-hang-chinh-hang-p102620086.html?spid=102620089,True
94453667,Điện thoại VoIP Yealink SIP-T30,1050000.0,1050000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-p94453667.html?spid=94453668,True
53380152,Điện Thoại IP Phone Fanvil X1S - Hàng Chính Hãng,950000.0,950000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-ip-phone-fanvil-x1s-hang-chinh-hang-p53380152.html?spid=68169992,True
29440849,điện thoại  IP622C - hàng chính hãng,1650000.0,1650000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-ip622c-hang-chinh-hang-p29440849.html?spid=29440850,True
279463314,Điện thoại Xiaomi Redmi Note 15 (8GB/128GB) - Hàng chính hãng,6490000.0,6490000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-8gb-128gb-hang-chinh-hang-p279463314.html?spid=279463318,True
279418598,Điện Thoại Samsung Galaxy A07 5G 4GB/128GB - Hàng Chính Hãng,4299000.0,4590000.0,0.06,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-128gb-hang-chinh-hang-p279418598.html?spid=279418600,True
279402741,Điện thoại Samsung Galaxy A07 5G (4GB/64GB) - Hàng chính hãng,4690000.0,4690000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-64gb-hang-chinh-hang-p279402741.html?spid=279402747,True
279389858,Điện thoại Xiaomi Redmi A7 Pro (4GB/64GB) - Hàng chính hãng,4190000.0,4190000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-a7-pro-hang-chinh-hang-p279389858.html?spid=279389860,True
279280385,Điện thoại Xiaomi Redmi Note 15 Pro (8GB/256GB) - Hàng chính hãng,8990000.0,8990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-8gb-256gb-hang-chinh-hang-p279280385.html?spid=279280389,True
279278848,Điện thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng chính hãng,10790000.0,10790000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-8gb-128gb-hang-chinh-hang-p279278848.html?spid=279278852,True
279277445,Điện thoại Samsung Galaxy S26+ (12GB/512GB) - Hàng chính hãng,35990000.0,35990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-512gb-hang-chinh-hang-p279277445.html?spid=279277449,True
279277056,Điện thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng chính hãng,29990000.0,29990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279277056.html?spid=279277060,True
279255062,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 6GB/128GB - Hàng Chính Hãng,6129000.0,6690000.0,0.08,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-6gb-128gb-hang-chinh-hang-p279255062.html?spid=279255066,True
279254739,Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,6279000.0,6690000.0,0.06,2,5.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-8gb-256gb-hang-chinh-hang-p279254739.html?spid=279254741,True
279247627,Điện thoại Xiaomi Redmi 15 5G (4GB/128GB) - Hàng chính hãng,5690000.0,5690000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-4gb-128gb-hang-chinh-hang-p279247627.html?spid=279247629,True
279212199,Điện thoại Samsung Galaxy A17 5G (4GB/128GB) - Hàng chính hãng,6190000.0,6190000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-4gb-128gb-hang-chinh-hang-p279212199.html?spid=279212205,True
279076946,Điện Thoại Xiaomi Redmi Note 15 6GB/128GB - Hàng Chính Hãng,5069000.0,5990000.0,0.15,1,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-6gb-128gb-hang-chinh-hang-p279076946.html?spid=279076950,True
279076844,Điện Thoại Xiaomi Redmi Note 15 5G 6GB/128GB - Hàng Chính Hãng,6139000.0,7490000.0,0.18,1,5.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-5g-6gb-128gb-hang-chinh-hang-p279076844.html?spid=279076846,True
279076808,Điện Thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính Hãng,8269000.0,10090000.0,0.18,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-12gb-256gb-hang-chinh-hang-p279076808.html?spid=279076812,True
279075921,Điện Thoại Oppo A6t 4GB/128GB - Hàng Chính Hãng,5349000.0,5490000.0,0.03,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-oppo-a6t-4gb-128gb-hang-chinh-hang-p279075921.html?spid=279075925,True
279073981,Điện thoại Xiaomi Redmi Note 15 5G (6GB/128GB) - Hàng chính hãng,7490000.0,7490000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-5g-6gb-128gb-hang-chinh-hang-p279073981.html?spid=279073987,True
279073856,Điện thoại Xiaomi Redmi Note 15 (6GB/128GB) - Hàng chính hãng,5990000.0,5990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-6gb-128gb-hang-chinh-hang-p279073856.html?spid=279073860,True
