ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,gia_goc,ty_le_giam,shop,da_kiem_tra_gia_ao
20611171,Combo Tý Quậy ( 10 tập ),300000.0,4.7,254,https://tiki.vn/combo-ty-quay-10-tap-p20611171.html?spid=20611172,Tiki,Truyện tranh/Manga,300000.0,0.0,Tiki,False
19824204,Combo Doraemon Truyện Ngắn (45 Tập) - Tái Bản,982800.0,4.8,3070,https://tiki.vn/combo-doraemon-truyen-ngan-45-tap-tai-ban-p19824204.html?spid=19824205,Tiki,Truyện tranh/Manga,982800.0,0.0,Tiki,False
279411794,Máy tính bảng Samsung Galaxy Tab A11 4G ( 4GB/64GB) - Hàng chính hãng,6990000.0,0.0,110,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-4g-4gb-64gb-p279411794.html?spid=279412568,Tiki,Ngành 1794,6990000.0,0.0,Tiki,False
279411764,Máy Tính Bảng Samsung Galaxy Tab A11 WiFi (4GB/64GB) - Hàng chính hãng,5990000.0,0.0,182,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-p279411764.html?spid=279411768,Tiki,Ngành 1794,5990000.0,0.0,Tiki,False
279314917,Điện thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính Hãng,7590000.0,4.7,7,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-12gb-256gb-hang-chinh-hang-p279314917.html?spid=279322849,Tiki,Ngành 1795,7590000.0,0.0,Tiki,False
279314906,Điện thoại Xiaomi Redmi Note 15 Pro 8GB/256GB - Hàng Chính Hãng,7250000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-8gb-256gb-hang-chinh-hang-p279314906.html?spid=279314910,Tiki,Ngành 1795,7250000.0,0.0,Tiki,False
279297038,Điện Thoại Samsung Galaxy A57 5G 8GB/128GB - Hàng Chính Hãng,10199000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279297038.html?spid=279297040,Tiki,Ngành 1795,10199000.0,0.0,Tiki,True
279257510,Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,12490000.0,4.8,13,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279257510.html?spid=279257516,Tiki,Ngành 1795,12490000.0,0.0,Tiki,True
279257463,Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,10990000.0,5.0,3,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-hang-chinh-hang-p279257463.html?spid=279257465,Tiki,Ngành 1795,10990000.0,0.0,Tiki,True
279231976,Apple iPad Air M4 11-Inch Wi-Fi,18490000.0,5.0,9,https://tiki.vn/apple-ipad-air-m4-11-inch-wi-fi-hang-chinh-hang-p279231976.html?spid=279231986,Tiki,Ngành 1794,18490000.0,0.0,Tiki,True
279188180,Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,11990000.0,0.0,97,https://tiki.vn/may-tinh-bang-galaxy-tab-s10-lite-wifi-8gb-256gb-hang-chinh-hang-p279188180.html?spid=279188182,Tiki,Ngành 1794,11990000.0,0.0,Tiki,True
279185853,Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,27900000.0,0.0,5,https://tiki.vn/dien-thoai-samsung-galaxy-s26-ultra-12gb-256gb-hang-chinh-hang-p279185853.html?spid=279185857,Tiki,Ngành 1795,27900000.0,0.0,Tiki,True
279185842,Điện Thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng Chính Hãng,21990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279185842.html?spid=279185844,Tiki,Ngành 1795,21990000.0,0.0,Tiki,True
279185812,Điện Thoại Samsung Galaxy S26 (12GB/256GB) - Hàng Chính Hãng,25990000.0,0.0,1,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279185812.html?spid=279185818,Tiki,Ngành 1795,25990000.0,0.0,Tiki,True
279122014,Điện thoại Xiaomi Redmi Note 15 Pro (12GB/256GB) - Hàng chính hãng,8290000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-12gb-256gb-hang-chinh-hang-p279122014.html?spid=279122018,Tiki,Ngành 1795,8290000.0,0.0,Tiki,False
279077078, Điện thoại Oppo A5x (4GB/128GB) - Hàng chính hãng,4690000.0,0.0,7011,https://tiki.vn/dien-thoai-oppo-a5x-4gb-128gb-hang-chinh-hang-p279077078.html?spid=279077080,Tiki,Ngành 1795,4690000.0,0.0,Tiki,False
278820676,Điện Thoại Xiaomi 15T Pro 5G 12GB/512GB - Hàng Chính Hãng,16959000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-15t-pro-5g-12gb-512gb-hang-chinh-hang-p278820676.html?spid=278820682,Tiki,Ngành 1795,16959000.0,0.0,Tiki,True
278814651,Điện thoại Xiaomi Redmi 15C (6GB/128GB) - Hàng chính hãng,4990000.0,0.0,2,https://tiki.vn/dien-thoai-xiaomi-redmi-15c-6gb-128gb-hang-chinh-hang-p278814651.html?spid=279051355,Tiki,Ngành 1795,4990000.0,0.0,Tiki,False
278730376,Máy tính bảng Samsung Galaxy Tab A11 Wifi (4GB/64GB) - Hàng chính hãng,3990000.0,0.0,0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-hang-chinh-hang-p278730376.html?spid=278730380,Tiki,Ngành 1794,3990000.0,0.0,Tiki,False
278729165,Máy tính bảng Samsung Galaxy Tab A11 LTE (4GB/64GB) - Hàng chính hãng,5490000.0,0.0,2,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-lte-4gb-64gb-hang-chinh-hang-p278729165.html?spid=278729169,Tiki,Ngành 1794,5490000.0,0.0,Tiki,False
278635796,Điện Thoại Samsung Galaxy A17 8GB/128GB - Hàng Chính Hãng,5359000.0,0.0,3,https://tiki.vn/dien-thoai-samsung-galaxy-a17-8gb-128gb-hang-chinh-hang-p278635796.html?spid=278635798,Tiki,Ngành 1795,5359000.0,0.0,Tiki,False
278630285,Apple iPhone Air - Xanh Da Trời - 256GB,21990000.0,5.0,53,https://tiki.vn/apple-iphone-air-p278630285.html?spid=278630803,Tiki,Ngành 1795,21990000.0,0.0,Tiki,True
278630241,Apple iPhone 17,23500000.0,5.0,249,https://tiki.vn/apple-iphone-17-p278630241.html?spid=278630827,Tiki,Ngành 1795,23500000.0,0.0,Tiki,True
278628866,Apple iPhone 17 Pro Max,33490000.0,5.0,4999,https://tiki.vn/apple-iphone-17-pro-max-p278628866.html?spid=278630786,Tiki,Ngành 1795,33490000.0,0.0,Tiki,True
278628812,Apple iPhone 17 Pro,30990000.0,5.0,443,https://tiki.vn/apple-iphone-17-pro-p278628812.html?spid=278630775,Tiki,Ngành 1795,30990000.0,0.0,Tiki,True
278591193,Điện thoại Samsung Galaxy A17 5G (8GB/128GB) - Hàng chính hãng,6390000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-8gb-128gb-hang-chinh-hang-p278591193.html?spid=278591198,Tiki,Ngành 1795,6390000.0,0.0,Tiki,False
278540683,Điện Thoại Samsung Galaxy A17 5G 8GB/128GB - Hàng Chính Hãng,6129000.0,0.0,2,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-8gb-128gb-hang-chinh-hang-p278540683.html?spid=278540689,Tiki,Ngành 1795,6129000.0,0.0,Tiki,False
277944334,Điện Thoại Samsung Galaxy A06 5G 4GB/64GB - Hàng Chính Hãng,3389000.0,5.0,8,https://tiki.vn/dien-thoai-samsung-a06-5g-4gb-64gb-hang-chinh-hang-p277944334.html?spid=277944340,Tiki,Ngành 1795,3389000.0,0.0,Tiki,False
277812880,Máy Tính Bảng Galaxy Tab S10 FE Wifi (8GB/128GB) - Hàng Chính Hãng,11990000.0,5.0,46,https://tiki.vn/may-tinh-bang-galaxy-tab-s10-fe-wifi-8gb-128gb-hang-chinh-hang-p277812880.html?spid=277812886,Tiki,Ngành 1794,11990000.0,0.0,Tiki,True
277646748,Điện thoại Samsung Galaxy A06 5G (4GB/64GB) - Hàng chính hãng,3990000.0,5.0,2,https://tiki.vn/dien-thoai-samsung-galaxy-a06-5g-4gb-64gb-hang-chinh-hang-p277646748.html?spid=277646755,Tiki,Ngành 1795,3990000.0,0.0,Tiki,False
277619147,Máy tính bảng iPad Gen 11 (A16) WiFi,11990000.0,5.0,474,https://tiki.vn/may-tinh-bang-ipad-gen-11-a16-wifi-p277619147.html?spid=277619155,Tiki,Ngành 1794,11990000.0,0.0,Tiki,True
277574339,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,180000.0,4.8,505,https://tiki.vn/cu-sac-samsung-khong-kem-cap-25w-hang-chinh-hang-p277574339.html?spid=277574341,Tiki,Ngành 1795,180000.0,0.0,Tiki,False
276539826,"Máy đọc sách New Kindle 2024, 16Gb Mới nguyên Seal - Hàng chính hãng",3690000.0,5.0,9,https://tiki.vn/may-doc-sach-new-kindle-2024-16gb-moi-nguyen-seal-hang-chinh-hang-p276539826.html?spid=276540791,Tiki,Ngành 28856,3690000.0,0.0,Tiki,False
276448920,"Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng",4890000.0,5.0,24,https://tiki.vn/may-doc-sach-amazon-kindle-paperwhite-6-gen-12th-hang-chinh-hang-p276448920.html?spid=276448922,Tiki,Ngành 28856,4890000.0,0.0,Tiki,False
275386982,Điện Thoại Nokia 220 4G - Hàng Chính Hãng,1089000.0,5.0,17,https://tiki.vn/dien-thoai-nokia-220-4g-hang-chinh-hang-p275386982.html?spid=275386986,Tiki,Ngành 1796,1089000.0,0.0,Tiki,False
271362153,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",3990000.0,5.0,16,https://tiki.vn/combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-va-bao-da-for-kids-ban-kids-khong-quang-cao-hang-nhap-khau-p271362153.html?spid=271362159,Tiki,Ngành 28856,3990000.0,0.0,Tiki,False
271234577,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,849000.0,5.0,20,https://tiki.vn/dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p271234577.html?spid=271234579,Tiki,Ngành 1796,849000.0,0.0,Tiki,False
252586291,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,4130000.0,5.0,521,https://tiki.vn/may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p252586291.html?spid=252586532,Tiki,Ngành 28856,4130000.0,0.0,Tiki,False
249782771,Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),2890000.0,0.0,0,https://tiki.vn/may-tinh-bang-xelex-gama-tab-x8-edu-p249782771.html?spid=249782772,Tiki,Ngành 1794,2890000.0,0.0,Tiki,False
201067649,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3890000.0,5.0,255,https://tiki.vn/combo-may-doc-sach-kindle-paperwhite-5-8gb-black-11th-gen-tang-kem-bao-da-cover-hang-nhap-khau-p201067649.html?spid=184640915,Tiki,Ngành 28856,3890000.0,0.0,Tiki,False
196197701,Điện thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng chính hãng,40990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-z-fold4-5g-12gb-256gb-hang-chinh-hang-p196197701.html?spid=196197705,Tiki,Ngành 1795,40990000.0,0.0,Tiki,True
4048581,Điện Thoại Bàn Panasonic KX-TSC11,739000.0,4.5,67,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p4048581.html?spid=26683926,Tiki,Ngành 8061,739000.0,0.0,Tiki,False
279463314,Điện thoại Xiaomi Redmi Note 15 (8GB/128GB) - Hàng chính hãng,6490000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-8gb-128gb-hang-chinh-hang-p279463314.html?spid=279463318,Tiki,Ngành 1795,6490000.0,0.0,Tiki,False
279418684,Điện Thoại Xiaomi Redmi 15 5G 4GB/128GB - Hàng Chính Hãng,4439000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-4gb-128gb-hang-chinh-hang-p279418684.html?spid=279418686,Tiki,Ngành 1795,4439000.0,0.0,Tiki,False
279418598,Điện Thoại Samsung Galaxy A07 5G 4GB/128GB - Hàng Chính Hãng,4299000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-128gb-hang-chinh-hang-p279418598.html?spid=279418600,Tiki,Ngành 1795,4299000.0,0.0,Tiki,False
